                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1374,                 4.8381,                 1.1471,                 1.0999,                 4.8786,                 1.0724,                0.01467,                0.10171,                0.04508,                0.03912,                0.99173,                 4.3814,                  1.074,                0.94233,                 4.3741,                 1.0204,                1.6e-06,                1.6e-06,                1.6e-06
                      2,                 1.1175,                 4.7885,                 1.1675,                  1.077,                 4.7631,                 1.0895,                 0.0147,                0.10332,                0.04503,                0.03903,                0.99554,                  4.386,                 1.0796,                0.94031,                 4.3757,                 1.0144,             3.9505e-06,             3.9505e-06,             3.9505e-06
                      3,                 1.2568,                 4.8605,                 1.2119,                 1.1981,                 4.8249,                 1.1236,                0.01461,                0.10407,                0.04507,                 0.0391,                0.99973,                 4.3913,                 1.0869,                0.94562,                 4.3755,                 1.0192,             6.2416e-06,             6.2416e-06,             6.2416e-06
                      4,                 1.2714,                 4.7021,                 1.3271,                 1.1846,                 4.8214,                 1.2507,                0.01365,                0.09999,                 0.0445,                0.03857,                0.99915,                 4.3753,                 1.0832,                0.95431,                 4.3477,                 1.0148,             8.4733e-06,             8.4733e-06,             8.4733e-06
                      5,                 1.2082,                 5.0826,                 1.1736,                 1.1946,                 5.0626,                 1.0912,                0.01403,                0.09889,                0.04509,                0.03913,                0.99249,                 4.3778,                 1.0837,                0.95376,                 4.3476,                 1.0106,             1.0646e-05,             1.0646e-05,             1.0646e-05
                      6,                 1.1303,                 4.6985,                  1.207,                 0.9955,                 4.8394,                 1.1374,                0.01382,                0.09888,                0.04557,                0.03952,                0.99432,                 4.3741,                 1.0837,                 0.9466,                 4.3539,                 1.0076,             1.2759e-05,             1.2759e-05,             1.2759e-05
                      7,                 1.2407,                 4.9193,                 1.2058,                 1.2459,                 4.8429,                 1.1131,                0.00966,                0.09888,                0.04421,                0.03831,                0.99766,                 4.3755,                 1.0898,                0.94619,                 4.3482,                 1.0093,             1.4812e-05,             1.4812e-05,             1.4812e-05
                      8,                 1.2503,                 4.6812,                 1.1878,                 1.2218,                  4.664,                 1.1154,                0.00965,                0.09892,                0.04462,                0.03876,                 1.0008,                 4.3747,                 1.0913,                   0.95,                 4.3422,                 1.0075,             1.6806e-05,             1.6806e-05,             1.6806e-05
                      9,                 1.2039,                 4.7692,                 1.2021,                 1.1716,                 4.9055,                 1.1037,                0.01084,                0.11165,                0.05472,                0.04628,                0.99792,                 4.3628,                 1.0863,                0.95277,                 4.3239,                 1.0063,             1.8741e-05,             1.8741e-05,             1.8741e-05
                     10,                 1.1781,                 4.8301,                 1.1846,                 1.1869,                 4.7491,                 1.1103,                0.01074,                0.11169,                0.05502,                0.04666,                  0.998,                 4.3617,                 1.0863,                0.95155,                 4.3194,                  1.006,             2.0616e-05,             2.0616e-05,             2.0616e-05
                     11,                  1.251,                 4.8551,                 1.2088,                 1.2216,                 4.8565,                  1.123,                0.01053,                0.12124,                0.05135,                 0.0439,                0.98679,                 4.3617,                 1.0828,                0.94817,                 4.3115,                 1.0048,             2.2432e-05,             2.2432e-05,             2.2432e-05
                     12,                 1.2879,                 4.7164,                   1.27,                 1.2419,                 4.7203,                 1.1842,                0.01058,                0.12129,                0.05533,                0.04627,                0.98308,                 4.3636,                 1.0824,                0.94349,                 4.3056,                 1.0021,             2.4189e-05,             2.4189e-05,             2.4189e-05
                     13,                 1.1263,                 4.7752,                 1.1358,                 1.1056,                 4.6772,                 1.0694,                0.01033,                0.12399,                0.05563,                0.04654,                0.98377,                 4.3671,                 1.0848,                0.93484,                 4.2987,                 1.0048,             2.5886e-05,             2.5886e-05,             2.5886e-05
                     14,                 1.1215,                  4.848,                 1.1331,                 1.0904,                 4.7868,                 1.0549,                0.00889,                0.12405,                0.05438,                0.04536,                0.97896,                 4.3625,                 1.0838,                0.92477,                  4.291,                 1.0022,             2.7523e-05,             2.7523e-05,             2.7523e-05
                     15,                  1.056,                  4.453,                 1.0715,                 1.0782,                 4.4348,                  1.021,                0.00909,                0.12831,                0.05289,                0.04441,                0.97141,                 4.3536,                 1.0846,                0.91739,                 4.2578,                0.99969,             2.9102e-05,             2.9102e-05,             2.9102e-05
                     16,                 1.2765,                 4.7543,                 1.2133,                 1.2461,                 4.6687,                  1.125,                0.00912,                0.12833,                0.05329,                0.04357,                0.96882,                 4.3558,                 1.0836,                0.90682,                 4.2477,                 1.0007,             3.0621e-05,             3.0621e-05,             3.0621e-05
                     17,                 1.0489,                 4.4974,                 1.1398,                 1.0043,                 4.4604,                 1.0832,                0.00922,                0.13011,                0.05298,                0.04378,                0.94317,                 4.3203,                 1.0638,                0.90184,                 4.2112,                0.99631,              3.208e-05,              3.208e-05,              3.208e-05
                     18,                 1.2308,                 4.6917,                 1.1604,                 1.1451,                 4.6056,                 1.0759,                0.00937,                 0.1359,                0.05317,                0.04378,                0.93336,                 4.3111,                 1.0573,                0.89831,                 4.2046,                0.99482,              3.348e-05,              3.348e-05,              3.348e-05
                     19,                 1.2291,                 4.6958,                 1.2994,                 1.1431,                 4.7746,                 1.2139,                0.00919,                0.13596,                0.05354,                  0.044,                0.93217,                 4.2932,                  1.055,                0.89886,                  4.178,                0.99618,             3.4821e-05,             3.4821e-05,             3.4821e-05
