                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.595,                 5.5243,                 1.5126,                 1.5637,                 5.7021,                 1.4068,                0.00016,                0.00167,                  8e-05,                  3e-05,                 1.1562,                 5.3529,                 1.2905,                 1.1155,                 5.6186,                 1.2748,                1.6e-06,                1.6e-06,                1.6e-06
                      2,                 1.6651,                   5.51,                 1.5741,                 1.6025,                 5.6414,                  1.447,                0.00019,                0.00167,                 0.0001,                  4e-05,                 1.1309,                 5.3424,                 1.2765,                 1.1027,                 5.6132,                 1.2781,             3.9505e-06,             3.9505e-06,             3.9505e-06
                      3,                 1.7701,                 5.5988,                 1.6194,                 1.7144,                 5.7064,                 1.4959,                 0.0002,                  1e-05,                 0.0001,                  7e-05,                 1.1182,                   5.33,                 1.2684,                 1.1028,                 5.5975,                   1.27,             6.2416e-06,             6.2416e-06,             6.2416e-06
                      4,                 1.6989,                 5.4037,                 1.7372,                 1.5263,                 5.6284,                 1.6283,                0.00028,                  1e-05,                0.00014,                 0.0001,                 1.1156,                 5.3142,                 1.2594,                 1.0887,                 5.5898,                 1.2686,             8.4733e-06,             8.4733e-06,             8.4733e-06
                      5,                 1.5914,                 5.6185,                  1.503,                 1.5597,                 5.7269,                 1.3765,                0.00022,                  1e-05,                0.00011,                  8e-05,                 1.1158,                 5.3092,                 1.2553,                 1.0862,                 5.5713,                 1.2617,             1.0646e-05,             1.0646e-05,             1.0646e-05
                      6,                 1.4975,                 5.3274,                 1.5102,                 1.4068,                 5.5797,                 1.4051,                0.00021,                  1e-05,                0.00011,                  9e-05,                 1.1294,                 5.2957,                 1.2512,                 1.0741,                 5.5648,                 1.2553,             1.2759e-05,             1.2759e-05,             1.2759e-05
                      7,                 1.6369,                  5.574,                 1.5268,                 1.6091,                 5.6681,                  1.391,                0.00864,                0.00278,                 0.0057,                0.00287,                 1.1295,                 5.2875,                 1.2445,                 1.0682,                 5.5456,                 1.2522,             1.4812e-05,             1.4812e-05,             1.4812e-05
                      8,                 1.4724,                 5.4453,                 1.4157,                 1.4838,                  5.602,                 1.3568,                0.00883,                0.00281,                 0.0058,                0.00347,                 1.1254,                 5.2811,                  1.236,                 1.0725,                 5.5285,                 1.2432,             1.6806e-05,             1.6806e-05,             1.6806e-05
                      9,                 1.4316,                 5.3515,                 1.3999,                 1.3982,                 5.6014,                 1.2412,                0.00471,                0.00282,                0.00444,                0.00267,                 1.1305,                  5.264,                 1.2205,                 1.0645,                 5.5191,                 1.2379,             1.8741e-05,             1.8741e-05,             1.8741e-05
                     10,                 1.4123,                 5.4593,                  1.418,                 1.4071,                 5.5628,                 1.3567,                0.00345,                0.01201,                0.00425,                0.00283,                 1.1321,                 5.2542,                 1.2125,                 1.0744,                 5.5154,                 1.2373,             2.0616e-05,             2.0616e-05,             2.0616e-05
